Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Андрощук,Федір,Денисович,male,2002-04-27,Офіс-менеджер,хутір Турка,"набережна Ковиловий, буд. 144 кв. 6, Іршава, 69597",+380 64 562-58-61,nhohol@example.net
Масляк,Володимир,Петрович,male,1963-06-02,Інженер з якості,місто Теребовля,"площа Маршала Малиновського, буд. 207 кв. 587, Соснівка , 46571",025 364 87 87,iustym52@example.com
Шахрай,Пилип,Іванович,male,1943-10-16,Менеджер з продукту,місто Тульчин,"вулиця Зоринська, буд. 7, Охтирка, 31041",097 226-89-64,bohdannaabrahamovskyi@example.com
Скорик,Валерій,Зеновійович,male,1939-06-02,Аналітик даних,хутір Очаків,"вулиця Мельницька, буд. 9, Суходільськ, 49410",+380 52 473-47-35,rdevdiuk@example.net
Єрченко,Марія,Павлівна,female,1969-06-30,Офіс-менеджер,селище Дубляни,"парк Бучми, буд. 71 кв. 17, Прип'ять , 04303",975-53-16,petrykherman@example.org
Бараник,Ірена,Євгенівна,female,1983-03-22,Програміст,селище Мирноград,"парк Василя Кандинського 2-й, буд. 2, Вишгород, 91464",+380 73 392-64-90,cparasiuk@example.net
Черінько,Онисим,Данилович,male,1977-02-28,Тестувальник,село Решетилівка,"проспект Амбулаторний 2-й, буд. 235, Снігурівка, 30212",+380 66 633-35-15,ielyseiorlyk@example.net
Андрусенко,Ліза,Станіславівна,female,1992-11-16,Офіс-менеджер,селище Волочиськ,"площа Стороженка Олега, буд. 7, Вишгород, 65472",979-62-78,pvalenko@example.net
Лесик,Софія,Петрівна,female,1965-03-14,Копірайтер,селище Ужгород,"площа Привокзальний, буд. 82, Гірське, 94450",+380 71 073-03-94,kderehus@example.org
Єрьоменко,Тарас,Федорович,male,1990-07-29,Аналітик даних,селище Олевськ,"парк Довга, буд. 6, Біла Церква, 52405",085 633-03-59,venedyktzakusylo@example.com
Дробаха,Володимира,Остапівна,female,1989-09-16,Офіс-менеджер,хутір Полонне,"набережна 5-та Суворовська, буд. 9, Покров, 45315",+380 78 413-28-74,banderaalevtyn@example.org
Журба,Богданна,Володимирівна,female,1986-10-29,Архітектор,село Миронівка,"площа Приморська, буд. 23, Буськ, 50737",+380 72 546-31-48,volodymyra10@example.org
Андрієвич,Августин,Юрійович,male,1960-06-13,Аналітик даних,село Нетішин,"шосе 4-та Лінія Марії Демченко, буд. 001, Зіньків, 77990",+380 (88) 360-60-52,marta92@example.org
Юрченко,Валерій,Володимирович,male,1980-12-01,PR-менеджер,хутір Кам'янка (Черкаська область),"шосе Соляний 2-й, буд. 03, Добропілля, 70818",258 84 30,liliia44@example.net
Титаренко,Соломія,Геннадіївна,female,1966-04-21,Інженер з якості,хутір Апостолове,"шосе Полтавська, буд. 025, Вугледар, 71299",856-67-41,avrelii93@example.com
Іващенко,Ярослава,Андріївна,female,1973-08-11,HR-менеджер,місто Хрустальний,"узвіз Ванний, буд. 418, Краматорськ, 19746",005 917-74-72,makar18@example.net
Єрмоленко,Василина,Петрівна,female,1966-12-15,Інженер з якості,місто Камінь-Каширський,"шосе Змієнка Всеволода, буд. 6 кв. 37, Кременчук, 38303",921-93-51,schaika@example.net
Оніщук,Аліна,Олександрівна,female,1942-07-07,Аналітик даних,село Житомир,"провулок Дорбуду, буд. 27, Мирноград, 76953",043 513 56 20,makarenkoboleslav@example.org
Іваненко,Панас,Тимофійович,male,1940-12-07,PR-менеджер,селище Кременчук,"провулок Шкіперська, буд. 472 кв. 987, Вінниця, 28588",+380 04 259-81-67,candrusenko@example.com
Дараган,Прохір,Мар'янович,male,1940-05-25,Аналітик даних,хутір Тернопіль,"вулиця Гаршина, буд. 065, Самбір, 27643",+380 81 615 22 16,oleksadziuba@example.net
Андрієвич,Володимира,Костянтинівна,female,1945-10-31,Бухгалтер,місто Сколе,"парк Новий, буд. 27 кв. 995, Бориспіль, 09997",045 157 13 16,khomenkoolha@example.net
Смик,Олекса,Вікторович,male,1939-07-17,HR-менеджер,селище Щастя ,"сквер Садовського, буд. 68, Запоріжжя, 70568",645 54 16,nadiiaovsiienko@example.org
Симоненко,Софія,Володимирівна,female,1967-03-03,Тестувальник,місто Харків,"парк Совіньйонівський, буд. 6 кв. 1, Боково-Хрустальне, 12927",024 599-33-89,artem98@example.com
Охріменко,Іван,Юрійович,male,1997-11-04,Тестувальник,місто Івано-Франківськ,"проспект Шефська, буд. 90 кв. 09, Глухів, 33716",+380 89 717-88-46,izhakevychiaroslava@example.net
Рябовіл,Богуслава,Денисівна,female,1945-09-21,Тестувальник,місто Подільськ,"парк Лінійний, буд. 1, Часів Яр, 94405",077 080 87 11,klavdiia35@example.net
Яременко,Павло,Романович,male,1961-01-27,Аудитор,село Малин,"вулиця Дачний 1-й, буд. 3 кв. 66, Алупка, 78467",160 30 48,ievtushokleopold@example.org
Уманець,Климент,Станіславович,male,1989-08-22,Асистент керівника,село Бучач,"узвіз Кар’єрна, буд. 62, Старобільськ, 60341",880-17-28,bairakvasylyna@example.com
Цушко,Роман,Ігорович,male,1971-09-27,Системний адміністратор,селище Краматорськ,"шосе Нова, буд. 4 кв. 83, Золотоноша, 39458",+380 57 656-88-24,bevzenkodanylo@example.net
Бебешко,Семен,Тимофійович,male,1989-03-23,HR-менеджер,село Шахтарськ,"парк Пугачова, буд. 15, Рава-Руська, 82493",995 12 76,tsushkorozaliia@example.com
Архимович,Давид,Денисович,male,1964-03-04,Копірайтер,місто Новодружеськ,"шосе Амундсена, 2-й, буд. 08 кв. 26, Вільногірськ, 41432",051-22-68,hennadiimalyshko@example.org
Терещук,Камілла,Олегівна,female,1958-12-23,Менеджер з закупівель,селище Дергачі,"узвіз Авангардна, буд. 4, Яремче, 54054",491-00-41,leontiifilipenko@example.com
Токар,Амвросій,Леонідович,male,1979-04-13,HR-менеджер,хутір Сарни,"узвіз Професора Коровицького, буд. 74 кв. 7, Здолбунів, 25846",+380 07 291-47-19,rhaievskyi@example.net
Михайлюк,Остап,Геннадійович,male,1970-11-15,HR-менеджер,хутір Ізмаїл,"проспект Варненська, буд. 73, Бережани, 05865",036 513-39-37,tytarenkoleon@example.net
Забашта,Еріка,Денисівна,female,1965-08-26,Аналітик даних,місто Саки ,"парк Крайня, буд. 613, Міусинськ, 66097",137 60 88,varfolomii20@example.net
Черненко,Георгій,Марківич,male,1992-05-17,Менеджер з маркетингу,місто Рудки,"сквер Абрикосовий, буд. 657 кв. 2, Ясинувата, 96451",+380 00 630-89-28,ustenkoavhustyn@example.net
Швачка,Леонід,Сергійович,male,1941-04-14,Програміст,місто Яворів,"вулиця Василя Кандинського 5-й, буд. 64 кв. 10, Бучач, 04975",+380 (86) 320-27-69,erikailienko@example.net
Саєнко,Єфрем,Олександрович,male,1986-02-27,Дизайнер,село Перевальськ,"набережна Сільська, буд. 913 кв. 16, Городище , 88335",+380 27 584-51-23,lizapushkar@example.org
Бабʼюк,Устим,Петрович,male,1993-05-10,Менеджер з маркетингу,село Ковель,"набережна Танфільєва, буд. 4, Ковель, 50243",565 18 80,markotsymbal@example.com
Талан,Семен,Сергійович,male,1939-12-28,Аналітик даних,місто Корюківка,"вулиця Деревообробний 3-й, буд. 713, Приморськ (Україна), 49313",+380 11 914 97 35,qnikoliuk@example.org
Авраменко,Емілія,Остапівна,female,1965-09-07,Менеджер з закупівель,хутір Українка ,"провулок Колонтаївська, буд. 868, Переяслав, 51982",088 20 89,drobakhaalbert@example.net
Павлик,Ада,Василівна,female,1949-09-24,Аналітик даних,хутір Львів,"площа Віцеадмірала Азарова, буд. 45, Кальміуське, 69616",+380 75 423 86 00,irynadanchuk@example.org
Щорс,Роксолана,Федорівна,female,1951-02-15,Асистент керівника,село Алушта,"проспект Бузковий 1-й, буд. 6, Новодружеськ, 59209",005 051-03-50,iemetsvenedykt@example.org
Гунько,Лілія,Данилівна,female,1963-05-30,Програміст,село Роздільна,"площа Лазурний 3-й, буд. 869, Хмільник, 41255",056 588 16 73,fizhakevych@example.org
Цимбалюк,Соломія,Данилівна,female,1953-04-11,Фінансовий аналітик,місто Черкаси,"провулок Сєченова, буд. 8 кв. 37, Оріхів, 69096",+380 09 007-99-61,nehodaiakiv@example.com
Вітер,Клавдія,Євгенівна,female,1986-03-07,Кадровий менеджер,селище Тульчин,"набережна Гагаріна, буд. 830 кв. 16, Кам'янець-Подільський, 03877",344 66 97,akorzh@example.org
Петренко,Михайлина,Геннадіївна,female,1983-09-03,Аналітик даних,хутір Горішні Плавні,"шосе Дворянська, буд. 5 кв. 479, Стебник, 16545",+380 76 007-65-42,dan00@example.org
Рябченко,Анжела,Марківна,female,1981-05-29,Менеджер з продукту,село Слов'янськ,"провулок Дзвінка, буд. 4, Кагарлик, 24805",002 653 28 68,iefrem97@example.net
Устенко,Спас,Андрійович,male,1963-03-27,Менеджер з маркетингу,хутір Здолбунів,"проспект Суперфосфатна, буд. 821 кв. 10, Красногорівка, 23366",+380 (12) 773-13-14,albina04@example.org
Юхименко,Вікторія,Леонідівна,female,1956-01-26,Фінансовий аналітик,місто Зугрес,"проспект Небесної Сотні, буд. 573, Гребінка, 77095",+380 99 267-64-68,danyloieroshenko@example.com
Нестайко,Наталія,Ярославівна,female,1988-03-25,Менеджер з закупівель,хутір Лутугине,"вулиця Лермонтовський 2-й, буд. 27, Генічеськ, 77637",+380 (87) 992-86-37,gbazylevych@example.net
Яременко,Вʼячеслав,Кирилович,male,1968-12-18,Тестувальник,місто Бучач,"шосе Чорноморський 3-й, буд. 908 кв. 697, Буськ, 54803",596-04-49,iukhym59@example.org
Смик,Любов,Тарасівна,female,1947-05-20,PR-менеджер,селище Чернігів,"парк Польова, буд. 90, Попасна, 44271",+380 63 898-24-46,symonenkostanislav@example.net
Канівець,Галина,Леонідівна,female,1954-11-02,PR-менеджер,село Благовіщенське,"сквер Північний, буд. 55 кв. 972, Чортків, 89790",085 884-25-40,ckhomenko@example.net
Гавриш,Едуард,Леонідович,male,1953-05-16,Менеджер з продажу,місто Львів,"сквер Черешнева, буд. 035 кв. 59, Березівка, 56404",+380 80 728 36 91,aorobets@example.org
Жученко,Мартин,Захарович,male,1975-10-06,Офіс-менеджер,село Андрушівка,"площа 2-га Лінія Марії Демченко, буд. 95 кв. 87, Кременець, 92418",688-72-02,matiashbohdan@example.net
Бабій,Геннадій,Давидович,male,1989-10-05,Офіс-менеджер,селище Кобеляки,"парк Лобачевського, буд. 73, Бершадь, 25749",482 39 72,viktor75@example.com
Ткач,Миколай,Вікторович,male,2007-06-24,Тестувальник,селище Судак ,"проспект Панаса Мирного, буд. 312, Хрестівка, 73206",058-40-17,ztaran@example.com
Бабій,Володимир,Григорійович,male,1972-09-01,Менеджер з закупівель,хутір Чорноморськ,"шосе Тарутинська, буд. 81, Сколе, 93073",+380 76 964-32-54,shtokaloiustyna@example.org
Бабʼюк,Пріска,Ярославівна,female,1945-04-18,Системний адміністратор,хутір Золотоноша,"парк Ракетна, буд. 697 кв. 7, Вознесенівка, 62859",+380 07 058-49-61,aaronbabak@example.com
Черінько,Григорій,Михайлович,male,1976-09-01,Дизайнер,село Звенигородка,"сквер Героїв оборони Одеси, буд. 935, Молочанськ, 47175",011 046-51-40,spasrak@example.net
Бевзенко,Григорій,Олександрович,male,1950-06-11,Копірайтер,місто Сєвєродонецьк,"проспект Маячний, буд. 3, Южноукраїнськ, 26896",+380 (16) 555-14-47,zoriandrobiazko@example.org
Масоха,Захар,Захарович,male,1988-02-19,Тестувальник,хутір Миргород,"провулок Лінія 54-та, буд. 324 кв. 49, Ананьїв, 18997",075 050 20 72,uarkhypenko@example.net
Нестайко,Людмила,Романівна,female,1960-06-19,Менеджер з маркетингу,село Єнакієве,"парк Різницький, буд. 8, Збараж, 80434",004 009 74 27,alina55@example.net
Литвин,Григорій,Леонідович,male,1955-09-07,Офіс-менеджер,селище Тернівка ,"проспект Романа Кармена, буд. 53 кв. 2, Ланівці, 54539",209 75 75,liubovskoryk@example.net
Гаврилюк,Валентин,Романович,male,1984-05-11,Менеджер з маркетингу,місто Київ,"проспект Лінія 40-ва, буд. 149 кв. 9, Кременець, 39946",+380 76 040-43-25,violettaumanets@example.org
Пушкар,Максим,Станіславович,male,1945-05-05,Архітектор,селище Верхньодніпровськ,"провулок Онілової, буд. 10 кв. 688, Жданівка, 33630",+380 67 265 46 47,snizhana39@example.com
Оліфіренко,Петро,Сергійович,male,1975-05-18,Дизайнер,місто Новий Розділ,"проспект Онілової, буд. 53, Алушта, 56231",+380 95 678 80 82,dumanets@example.net
Симоненко,Климент,Юрійович,male,1950-12-10,Копірайтер,місто Погребище,"набережна Березова, буд. 87 кв. 865, Покров, 33562",553 51 63,frantsvashchenko@example.com
Слюсар,Христина,Максимівна,female,1961-09-21,Фінансовий аналітик,місто Білогірськ,"площа Глазунова, буд. 512, Чоп, 62794",+380 41 233-18-73,bbazylevskyi@example.com
Христенко,Дарина,Іванівна,female,1939-03-16,Менеджер з продукту,хутір Немирів,"провулок Професора Каришковського, буд. 0 кв. 1, Бахмач, 47877",003 862 34 36,trokhym37@example.net
Дейнеко,Анастасія,Сергіївна,female,1958-10-11,Кадровий менеджер,місто Лебедин,"провулок Тепличний 1-й, буд. 061, Новий Буг, 39338",+380 (47) 421-35-88,milenaartymyshyn@example.com
Акименко,Ярослава,Давидівна,female,1952-09-12,Тестувальник,хутір Берестечко,"набережна Бузковий 2-й, буд. 601 кв. 0, Чигирин, 28952",649-09-23,marynaandriishyn@example.com
Литвин,Захар,Денисович,male,1984-03-23,Інженер з якості,село Херсон,"парк Проїзний 3-й, буд. 669, Ялта, 36531",401-95-73,klymentdutka@example.org
Данько,Іван,Федорович,male,1940-11-09,PR-менеджер,хутір Подільськ,"шосе Аеродромний 2-й, буд. 641, Ковель, 01754",+380 (79) 839-70-25,skanivets@example.org
Кармалюк,Лариса,Назарівна,female,1966-06-13,Менеджер з продажу,село Судак ,"вулиця Розумовський 1-й, буд. 69, Хирів, 09952",+380 21 193-86-12,liubov37@example.net
Оніщук,Ігнат,Денисович,male,2007-09-25,Тестувальник,селище Ялта,"проспект Лейтенанта Шмідта, буд. 163, Кодима, 65835",+380 62 600-18-91,nadiiaadamenko@example.com
Вакуленко,Богуслав,Петрович,male,1979-07-18,Копірайтер,селище Жидачів,"вулиця Селекційна, буд. 628, Чернівці, 16878",+380 06 603-16-47,vira95@example.com
Деревʼянко,Лукʼян,Євгенович,male,1988-02-10,Дизайнер,селище Кагарлик,"сквер Пассіонарії, буд. 076 кв. 165, Роздільна, 54916",+380 42 409 15 28,lrubets@example.org
Атаманюк,Данна,Іванівна,female,2000-10-17,Програміст,хутір Ірпінь,"парк Керченська, буд. 3 кв. 7, Баранівка, 08483",+380 51 710-27-59,dmytroderevianko@example.com
Андрейко,Галина,Леонідівна,female,1964-04-25,Копірайтер,хутір Кам'янець-Подільський,"провулок 11-та ст. Великого Фонтану пляж, буд. 4 кв. 864, Батурин, 53504",078 798 02 03,dlubenets@example.net
Терещенко,Мартин,Остапович,male,1998-02-14,Бухгалтер,хутір Чигирин,"узвіз Ширшова, буд. 5, Снігурівка, 45200",+380 (07) 570-00-13,zakhar39@example.com
Оніщук,Єлисавета,Сергіївна,female,1947-04-07,Програміст,місто Тлумач,"проспект Орловський, буд. 669, Галич, 15073",007 809 66 30,gdzyndra@example.com
Рудько,Іван,Михайлович,male,1941-05-21,Менеджер з продажу,хутір Болград,"парк Успенська, буд. 402, Хрестівка, 61734",737-21-45,viacheslav50@example.net
Габелко,Теодор,Сергійович,male,1996-03-14,Копірайтер,місто Вугледар,"проспект Курортний, буд. 980 кв. 544, Старокостянтинів, 58965",+380 79 998-24-52,kopytkotetiana@example.org
Радченко,Соломія,Євгенівна,female,1963-01-18,Аудитор,місто Бахмут,"проспект Нова, буд. 915 кв. 6, Марганець , 27161",095 432-94-61,viktoriiashyian@example.org
Лисенко,Семен,Ярославович,male,1986-04-28,Системний адміністратор,селище Ніжин,"провулок Розкидайлівська, буд. 987, Благовіщенське, 07061",437-93-45,leskhrystych@example.org
Баштан,Єлисей,Петрович,male,2007-04-30,Менеджер з продажу,селище Василівка ,"вулиця Гранатний, буд. 122 кв. 23, Миколаївка , 19778",+380 43 004-44-98,zasenkomaryna@example.com
Яремко,Марта,Борисівна,female,2001-11-17,Менеджер з маркетингу,селище Скадовськ,"парк Івана Вазова, буд. 118, Турка, 21399",652 23 59,tmalyshko@example.org
Ільченко,Франц,Іванович,male,1978-08-17,Програміст,хутір Вознесенівка,"набережна Вчительської, 2-й, буд. 703, Дергачі, 08214",+380 58 209-35-67,poltavetshanna@example.net
Габелко,Тетяна,Леонідівна,female,1970-04-30,Фінансовий аналітик,село Херсон,"парк Платанова, буд. 547, Фастів, 52431",046 959 37 38,valentynbakumenko@example.com
Ніколюк,Михайло,Станіславович,male,1981-12-23,Кадровий менеджер,місто Старий Самбір,"набережна Друга, буд. 6, Рубіжне, 82279",+380 78 376-67-43,avrelii75@example.com
Устенко,Лілія,Романівна,female,1938-07-10,Інженер з якості,місто Бурштин ,"парк Тещин міст, буд. 8, Деражня, 07659",069 322 35 55,ustymdziuba@example.org
Данченко,Розалія,Зеновіївна,female,1980-05-11,Інженер з якості,село Прип'ять ,"набережна Балтський 8-й, буд. 44 кв. 063, Суми, 93438",+380 83 005-50-30,rostyslav39@example.com
Оробець,Веніямин,Іванович,male,1939-03-22,Інженер з якості,хутір Кропивницький,"проспект Дельфін, буд. 055, Глобине, 35742",037 23 34,dmytro01@example.net
Ірванець,Ілля,Данилович,male,1958-08-25,Асистент керівника,селище Жидачів,"набережна Академіка Вільямса, буд. 129, Березне, 86809",646-10-68,mykolaitryhub@example.com
Базилевич,Богданна,Андріївна,female,2003-07-03,HR-менеджер,місто Ізмаїл,"узвіз Ольгіївський узвіз, буд. 16 кв. 1, Пирятин, 35713",154-12-93,babiukbohuslava@example.net
Демʼянчук,Світлана,Захарівна,female,1961-02-24,Фінансовий аналітик,місто Зоринськ,"парк Степана Олійника узвіз, буд. 00 кв. 722, Іллінці, 33531",+380 82 056-60-62,spas33@example.com
Єрошенко,Олена,Петрівна,female,2005-05-02,Фінансовий аналітик,хутір Новоазовськ,"сквер Лесі Українки, буд. 9, Бібрка, 72298",000 148-15-69,iemetszynovii@example.com
Овчаренко,Олесь,Сергійович,male,1965-10-23,Аналітик даних,селище Березівка,"шосе Скляний 3-й, буд. 12, Дніпрорудне, 07366",+380 (32) 468-28-05,odrobiazko@example.com
Саченко,Тарас,Костянтинович,male,1975-08-04,Копірайтер,хутір Мена ,"парк Кладовищенська, буд. 010 кв. 99, Решетилівка, 27626",287 71 31,hennadii56@example.net
Хоменко,Златослава,Остапівна,female,2001-04-22,Кадровий менеджер,хутір Антрацит ,"проспект Посмітного, буд. 4, Тиврів, 95980",+380 01 812-88-13,demianiukmyroslav@example.org
Конопля,Ігнат,Олександрович,male,2008-05-30,Менеджер з продукту,селище Перечин,"шосе Студентський, буд. 9 кв. 6, Арциз, 76131",013 849-37-00,hermanhutsuliak@example.net
Ґжицький,Дмитро,Романович,male,1977-09-18,Менеджер з продукту,селище Бровари,"парк ПшеничнаРадищева, буд. 25, Харків, 34684",+380 75 279-17-43,okseniiaverkhola@example.com
Карпенко,Марко,Вікторович,male,1947-05-31,HR-менеджер,місто Бровари,"сквер Гонтаренко, буд. 4 кв. 342, Малин, 32272",+380 96 224-27-95,marianashvachka@example.org
Фаренюк,Оксенія,Петрівна,female,1974-07-03,Менеджер з продукту,місто Сторожинець,"шосе Проектна 1-ша, буд. 6, Київ, 44730",052 307 91 22,vasyl81@example.org
Базилевич,Назар,Олександрович,male,1968-07-26,Інженер з якості,селище Красноперекопськ,"сквер Єфімова, буд. 19, Старий Крим, 25389",040 254-79-13,olehneporozhnii@example.net
Ярема,Вікторія,Вікторівна,female,1993-03-04,Менеджер з продукту,село Кам'янець-Подільський,"сквер Добровольського, буд. 8, Снятин, 77212",+380 44 775-65-33,viurchyshyn@example.net
Журба,Болеслав,Олексійович,male,1984-01-13,Фінансовий аналітик,селище Хорол ,"узвіз Василя Стуса, буд. 099, Глухів, 74376",+380 (81) 520-57-69,zatovkaniukserhii@example.org
Овчаренко,Сніжана,Романівна,female,1944-03-13,Архітектор,місто Луцьк,"площа Профспілкова, буд. 597, Бердянськ, 15126",+380 (04) 717-26-01,dan20@example.org
Конопленко,Данило,Денисович,male,1951-04-09,Кадровий менеджер,селище Узин,"вулиця Колонічна, буд. 433 кв. 0, Судак , 87720",+380 16 761-91-87,iustymkovalenko@example.org
Забіла,Богуслава,Павлівна,female,1982-07-05,Інженер з якості,село Гуляйполе,"парк Макова, буд. 98 кв. 47, Сокиряни, 51884",044 876 42 26,anita70@example.com
Петрик,Феофан,Ярославович,male,1977-12-15,Менеджер з продукту,місто Торецьк,"провулок Донцова Дмитра, буд. 530 кв. 70, Здолбунів, 73668",177-10-95,abrahamovskyiokseniia@example.net
Данько,Богдан,Назарович,male,1941-02-07,Менеджер з продажу,селище Селидове,"вулиця Щукіна, буд. 9, Новий Розділ, 89274",+380 42 197-72-58,drozdenkooleksandr@example.org
Фартушняк,Аркадій,Михайлович,male,1973-01-30,Менеджер з продукту,село Покровськ,"шосе Грецький, буд. 0, Сіверськ, 02548",+380 69 816-96-88,pdzhun@example.org
Алексеєнко,Герман,Тимофійович,male,1986-07-14,Менеджер з маркетингу,хутір Підгородне,"площа Ціолковського, буд. 231, Прилуки, 32131",+380 46 810 21 00,zhadanmariana@example.com
Товстуха,Володимир,Євгенович,male,1939-11-10,Архітектор,село Дружба ,"площа Маковий, буд. 8 кв. 8, Лутугине, 13135",125-84-56,olha50@example.org
Жаліло,Орина,Денисівна,female,1969-12-17,Програміст,хутір Бориспіль,"сквер Середньофонтанський, буд. 73, Лубни, 33861",+380 98 153-62-68,tbezditko@example.net
Ісаєнко,Іван,Борисович,male,1948-02-06,Аналітик даних,хутір Мар'їнка,"набережна Радісний, буд. 451 кв. 51, Глобине, 92729",048 483 01 31,vderiazhnyi@example.org
Дробаха,Аарон,Васильович,male,1939-07-24,Менеджер з продажу,селище Заліщики,"вулиця Ширшова, буд. 5, Носівка, 27382",046 007-10-15,mykytasaienko@example.com
Смик,Дмитро,Остапович,male,1951-03-05,Аудитор,селище Дунаївці,"проспект Нова, буд. 51 кв. 242, Молочанськ, 98859",+380 31 807 26 15,tryhubstanislav@example.net
Уманець,Пріска,Станіславівна,female,1944-10-06,Асистент керівника,селище Хотин,"парк Листяна, буд. 5 кв. 377, Бершадь, 41998",531 72 68,gzhalilo@example.net
Христенко,Маруся,Костянтинівна,female,1960-10-17,Кадровий менеджер,село Трускавець,"проспект Гранатний, буд. 17 кв. 8, Стрий, 04698",034 448 68 06,fchmil@example.org
Якименко,Болеслав,Костянтинович,male,1980-07-24,Аудитор,село Щастя ,"узвіз Тещин міст, буд. 7, Донецьк, 92460",+380 52 932 89 94,alla02@example.org
